C:\Users\BIOMETRICS\Desktop\testRecordingTrigger.c3d



Time(ms):	EMG 9(uV):	
147.5	-10.6752	
148.0	-10.2724	
148.5	-11.4809	
149.0	0.2014	
149.5	-10.4738	
150.0	-5.6397	
150.5	-4.6326	
151.0	-3.8270	
151.5	14.3008	
152.0	-1.8128	
152.5	-8.0568	
153.0	-7.8553	
153.5	-11.2795	
154.0	5.8412	
154.5	5.2369	
155.0	-0.6043	
155.5	11.6823	
156.0	10.8766	
156.5	10.6752	
157.0	20.7462	
157.5	18.7320	
158.0	15.9121	
158.5	6.0426	
159.0	1.4099	
159.5	-5.2369	
160.0	-0.2014	
160.5	5.4383	
161.0	-13.0922	
161.5	-0.2014	
162.0	3.0213	
162.5	-11.4809	
163.0	-10.2724	
163.5	7.2511	
164.0	-15.7107	
164.5	-37.2625	
165.0	-20.7462	
165.5	-26.7887	
166.0	-12.2866	
166.5	2.2156	
167.0	16.7178	
167.5	-5.0355	
168.0	1.4099	
168.5	-7.2511	
169.0	-12.2866	
169.5	1.4099	
170.0	-8.6610	
170.5	-14.0993	
171.0	-14.7036	
171.5	-9.4667	
172.0	-14.7036	
172.5	0.2014	
173.0	-5.2369	
173.5	-2.8199	
174.0	-4.2298	
174.5	-3.0213	
175.0	10.4738	
175.5	4.0284	
176.0	-2.2156	
176.5	-4.8341	
177.0	-0.2014	
177.5	-9.0639	
178.0	-1.4099	
178.5	-10.6752	
179.0	-3.8270	
179.5	7.6539	
180.0	-2.2156	
180.5	-8.0568	
181.0	8.6610	
181.5	11.6823	
182.0	-0.6043	
182.5	-2.2156	
183.0	3.2227	
183.5	-11.0780	
184.0	-2.8199	
184.5	-7.4525	
185.0	-15.1064	
185.5	-5.2369	
186.0	-16.9192	
186.5	-3.4241	
187.0	0.8057	
187.5	6.0426	
188.0	-0.6043	
188.5	-8.6610	
189.0	-15.7107	
189.5	-13.0922	
190.0	-4.8341	
190.5	1.0071	
191.0	-4.2298	
191.5	-4.2298	
192.0	-15.1064	
192.5	-5.6397	
193.0	-14.7036	
193.5	-1.4099	
194.0	-11.0780	
194.5	-15.9121	
195.0	-3.2227	
195.5	-7.6539	
196.0	7.8553	
196.5	6.0426	
197.0	3.2227	
197.5	-1.4099	
198.0	-7.0497	
198.5	-14.5022	
199.0	2.2156	
199.5	-1.4099	
200.0	8.2582	
200.5	5.8412	
201.0	5.0355	
201.5	-1.8128	
202.0	6.2440	
202.5	1.6114	
203.0	5.2369	
203.5	-4.0284	
204.0	0.6043	
204.5	18.5306	
205.0	2.2156	
205.5	-1.2085	
206.0	-13.2937	
206.5	1.8128	
207.0	-7.0497	
207.5	-4.2298	
208.0	4.2298	
208.5	7.4525	
209.0	8.2582	
209.5	5.0355	
210.0	5.6397	
210.5	-8.6610	
211.0	-14.7036	
211.5	-24.7745	
212.0	1.0071	
212.5	1.8128	
213.0	4.4312	
213.5	8.0568	
214.0	9.6681	
214.5	10.8766	
215.0	0.6043	
