10:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155410, 0.01049653);(0.03685614, -0.02114790, 0.02611096);(0.06647495, -0.01960560, 0.03943151);(0.09852177, -0.01462207, 0.04892560);(0.09599622, -0.00731646, 0.02355067);(0.10653700, -0.04305508, 0.01647096);(0.10534620, -0.06723443, 0.01432433);(0.09564660, -0.00254315, 0.00172591);(0.10383080, -0.04460536, -0.00082666);(0.10253890, -0.07212318, -0.00054402);(0.08869379, -0.00652932, -0.01746524);(0.09661444, -0.04469292, -0.01868895);(0.09712505, -0.07118412, -0.01666370);(0.03407356, -0.00941985, -0.02299859);(0.07789584, -0.01369118, -0.03505406);(0.08711575, -0.04299452, -0.03528018);(0.08670317, -0.06279994, -0.03079383);(0.12071950, -0.01263205, 0.05939023);(0.10504000, -0.08928730, 0.01047245);(0.10135660, -0.09708768, -0.00065233);(0.09358463, -0.09462172, -0.01095784);(0.08905349, -0.08397507, -0.02548156);$
11:(0.00000000, 0.00000000, 0.00000000);(0.02006929, -0.01155409, 0.01049651);(0.03842917, -0.02504778, 0.02042049);(0.06763963, -0.03730885, 0.02773522);(0.09763590, -0.04463255, 0.01400352);(0.09599622, -0.00731645, 0.02355066);(0.12791200, -0.02707445, 0.01812081);(0.14693050, -0.04174748, 0.01442390);(0.09564658, -0.00254315, 0.00172589);(0.12904990, -0.02932082, -0.00142081);(0.15048870, -0.04647413, -0.00368310);(0.08869379, -0.00652930, -0.01746525);(0.09926358, -0.04406497, -0.01768624);(0.07486249, -0.04295163, -0.00722238);(0.03407356, -0.00941983, -0.02299858);(0.07789584, -0.01369117, -0.03505408);(0.08133958, -0.04335932, -0.02786485);(0.06358510, -0.04460211, -0.01807782);(0.11916250, -0.05252701, 0.00503188);(0.16637020, -0.05158687, 0.00927196);(0.17273890, -0.05737831, -0.00694906);(0.06304851, -0.02227018, -0.00201462);(0.04929731, -0.02984982, -0.01030868);$
12:(0.00000000, 0.00000000, 0.00000000);(0.02006929, -0.01155410, 0.01049652);(0.03187442, -0.01088194, 0.03235597);(0.05364357, -0.01149885, 0.05649748);(0.08083110, -0.01155044, 0.07656758);(0.09599623, -0.00731644, 0.02355067);(0.13385390, -0.00869573, 0.02171420);(0.15762790, -0.01350126, 0.02017369);(0.09564660, -0.00254314, 0.00172588);(0.13769310, -0.01006304, -0.00254861);(0.16438980, -0.01621179, -0.00545610);(0.08869378, -0.00652930, -0.01746525);(0.12686450, -0.01245660, -0.02280954);(0.15240920, -0.01899160, -0.02611180);(0.03407356, -0.00941982, -0.02299857);(0.07789586, -0.01369118, -0.03505406);(0.10663190, -0.01420318, -0.04590396);(0.12479650, -0.02010372, -0.05281647);(0.09286638, -0.00850565, 0.09783000);(0.17962460, -0.01648265, 0.01725549);(0.18882250, -0.02040939, -0.00862838);(0.17595430, -0.02504778, -0.02794672);(0.14550970, -0.02432200, -0.05875776);$
13:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155411, 0.01049653);(0.03842994, -0.02504995, 0.02041616);(0.05830871, -0.05062027, 0.02325893);(0.08314831, -0.07237168, 0.01605862);(0.09599623, -0.00731646, 0.02355069);(0.11024380, -0.04210828, 0.01854915);(0.10887910, -0.06629752, 0.01662901);(0.09564663, -0.00254316, 0.00172590);(0.11583930, -0.04031801, -0.00111024);(0.10998660, -0.06720715, 0.00019247);(0.08869381, -0.00652930, -0.01746524);(0.12285260, -0.02403479, -0.02435207);(0.14142850, -0.04288477, -0.02675245);(0.03407356, -0.00941985, -0.02299858);(0.07789586, -0.01369118, -0.03505408);(0.10402240, -0.00456449, -0.04839013);(0.12225520, -0.00571774, -0.05726643);(0.09832138, -0.09172872, 0.01719527);(0.10467730, -0.08813286, 0.01401711);(0.09520935, -0.08703002, 0.00384234);(0.15501860, -0.06311819, -0.02617881);(0.14281480, -0.01058821, -0.06324220);$
14:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155409, 0.01049652);(0.03265554, -0.01239726, 0.03190972);(0.05495531, -0.01547069, 0.05536953);(0.08154330, -0.01641442, 0.07620605);(0.09599621, -0.00731645, 0.02355065);(0.12992830, -0.02423036, 0.02254366);(0.15039690, -0.03729346, 0.02151390);(0.09564659, -0.00254315, 0.00172590);(0.10615900, -0.04411622, -0.00024710);(0.07934943, -0.04260818, 0.00591328);(0.08869379, -0.00652929, -0.01746526);(0.09685564, -0.04463620, -0.01607123);(0.07174715, -0.04305001, -0.00751597);(0.03407355, -0.00941984, -0.02299858);(0.07789584, -0.01369117, -0.03505407);(0.10429570, -0.02715963, -0.04314063);(0.11758440, -0.04220965, -0.04621594);(0.09292196, -0.01445126, 0.09795189);(0.16995630, -0.04791226, 0.01907908);(0.06494342, -0.02295494, 0.01146787);(0.05944226, -0.02245606, -0.00316951);(0.13299000, -0.05780464, -0.04747907);$
15:(0.00000000, 0.00000000, 0.00000000);(0.02006931, -0.01155412, 0.01049652);(0.03695864, -0.02138204, 0.02585271);(0.06146694, -0.03798322, 0.03930012);(0.08947297, -0.05280383, 0.02755338);(0.09599624, -0.00731645, 0.02355069);(0.11438990, -0.04027143, 0.01979243);(0.09063567, -0.04505606, 0.02166641);(0.09564663, -0.00254314, 0.00172592);(0.11372110, -0.04144143, 0.00000421);(0.08666985, -0.04500501, 0.00381354);(0.08869381, -0.00652930, -0.01746524);(0.10405200, -0.04236896, -0.01804835);(0.07908424, -0.04419869, -0.00913734);(0.03407356, -0.00941984, -0.02299858);(0.07789584, -0.01369120, -0.03505407);(0.09110019, -0.04123953, -0.03181698);(0.07361995, -0.04378707, -0.02179179);(0.09732180, -0.05636358, 0.00448970);(0.07915989, -0.02595837, 0.02386715);(0.07266922, -0.02484302, 0.00851585);(0.06887705, -0.02230246, -0.00585363);(0.06208492, -0.02570280, -0.01709785);$
16:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155409, 0.01049650);(0.03734680, -0.02228610, 0.02477801);(0.05936305, -0.04361681, 0.03561199);(0.08697449, -0.06260937, 0.03126883);(0.09599622, -0.00731645, 0.02355066);(0.12461540, -0.03204168, 0.02070718);(0.12033790, -0.05594780, 0.01977577);(0.09564661, -0.00254315, 0.00172589);(0.13669860, -0.01270972, -0.00562914);(0.15607570, -0.03202597, -0.00885268);(0.08869378, -0.00652931, -0.01746526);(0.12477340, -0.01458591, -0.02987689);(0.14479760, -0.03133348, -0.03484624);(0.03407357, -0.00941983, -0.02299857);(0.07789584, -0.01369118, -0.03505408);(0.10285920, -0.02243179, -0.05068028);(0.11718300, -0.03366647, -0.05968923);(0.10531890, -0.07648519, 0.02248516);(0.10802830, -0.07461046, 0.01857639);(0.17105690, -0.05189234, -0.01120353);(0.16280510, -0.04749428, -0.03784141);(0.13434030, -0.04454010, -0.06802723);$
17:(0.00000000, 0.00000000, 0.00000000);(0.02006929, -0.01155410, 0.01049652);(0.03279440, -0.01266937, 0.03181500);(0.05535988, -0.01578005, 0.05501439);(0.08081852, -0.01517418, 0.07722844);(0.09599622, -0.00731644, 0.02355067);(0.13210360, -0.01441431, 0.01436595);(0.15254200, -0.02624289, 0.00861934);(0.09564661, -0.00254314, 0.00172589);(0.10927730, -0.04318644, -0.00052193);(0.08233066, -0.04450582, 0.00505612);(0.08869379, -0.00652931, -0.01746525);(0.09772141, -0.04445018, -0.01636780);(0.07265455, -0.04374555, -0.00757576);(0.03407356, -0.00941983, -0.02299858);(0.07789585, -0.01369118, -0.03505407);(0.08555855, -0.04266633, -0.02831112);(0.06666146, -0.04357150, -0.02091975);(0.09246922, -0.01296786, 0.09880628);(0.17183930, -0.03522704, 0.00167981);(0.06831875, -0.02455024, 0.01054035);(0.06428957, -0.02103673, -0.00461766);(0.05822961, -0.02334289, -0.01956426);$
18:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155409, 0.01049651);(0.03889576, -0.02657900, 0.01661749);(0.06110449, -0.05027378, 0.01506241);(0.08760990, -0.07059269, 0.00990714);(0.09599622, -0.00731645, 0.02355066);(0.11414030, -0.04025619, 0.01862671);(0.11297460, -0.06446748, 0.01685968);(0.09564660, -0.00254315, 0.00172589);(0.11698620, -0.03953236, -0.00264986);(0.11188130, -0.06656677, -0.00121448);(0.08869380, -0.00652931, -0.01746525);(0.11447830, -0.03539087, -0.02224666);(0.11218560, -0.06147834, -0.01773747);(0.03407356, -0.00941984, -0.02299857);(0.07789584, -0.01369119, -0.03505407);(0.10516140, -0.00920296, -0.04847749);(0.12245670, -0.01755309, -0.05508819);(0.10423120, -0.08871965, 0.01107156);(0.11045150, -0.08653376, 0.01403626);(0.10333170, -0.08993981, 0.00107449);(0.10404440, -0.08324230, -0.01035757);(0.14260340, -0.02382776, -0.06116025);$
19:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155409, 0.01049651);(0.03365658, -0.01437896, 0.03111340);(0.05870102, -0.01503190, 0.05183632);(0.08411409, -0.00973693, 0.07347222);(0.09599625, -0.00731644, 0.02355067);(0.11214420, -0.04142576, 0.01977201);(0.08813329, -0.04461070, 0.02177184);(0.09564661, -0.00254315, 0.00172590);(0.11259240, -0.04191446, -0.00061261);(0.08576962, -0.04591569, 0.00423589);(0.08869380, -0.00652931, -0.01746527);(0.10542660, -0.04175288, -0.01737395);(0.08013547, -0.04472080, -0.00977819);(0.03407357, -0.00941982, -0.02299857);(0.07789586, -0.01369119, -0.03505407);(0.09370173, -0.03977264, -0.03135604);(0.07580543, -0.04397172, -0.02271643);(0.09694952, -0.00524962, 0.09399845);(0.07717373, -0.02521429, 0.02399140);(0.07137695, -0.02619896, 0.00959668);(0.06917460, -0.02311719, -0.00702934);(0.06507703, -0.02493683, -0.02054743);$
20:(0.00000000, 0.00000000, 0.00000000);(0.02006929, -0.01155410, 0.01049652);(0.03872898, -0.02596403, 0.01835905);(0.05847435, -0.05179298, 0.01808632);(0.08263604, -0.07257680, 0.00685166);(0.09599622, -0.00731646, 0.02355067);(0.13008520, -0.02319104, 0.01860927);(0.15146130, -0.03421779, 0.01512491);(0.09564661, -0.00254314, 0.00172589);(0.11257730, -0.04198048, 0.00260653);(0.10855580, -0.06923174, 0.00302545);(0.08869380, -0.00652930, -0.01746524);(0.12200750, -0.02627890, -0.02203117);(0.14273060, -0.04274720, -0.02437496);(0.03407357, -0.00941982, -0.02299857);(0.07789585, -0.01369118, -0.03505408);(0.10535350, -0.00585798, -0.04638811);(0.12384950, -0.00455463, -0.05467978);(0.09700909, -0.09255503, 0.00755602);(0.17165330, -0.04264139, 0.01037251);(0.09919262, -0.09239572, 0.00365509);(0.15928940, -0.06064146, -0.02424996);(0.14476300, -0.00329810, -0.06125086);$
21:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155410, 0.01049650);(0.03876887, -0.02609981, 0.01800636);(0.05866843, -0.05180182, 0.01729730);(0.08308277, -0.07304855, 0.00757670);(0.09599623, -0.00731646, 0.02355066);(0.13123540, -0.02095021, 0.02026408);(0.15064430, -0.03539165, 0.01793934);(0.09564660, -0.00254317, 0.00172588);(0.11408550, -0.04130135, 0.00245777);(0.10710210, -0.06794636, 0.00296148);(0.08869378, -0.00652929, -0.01746525);(0.11124920, -0.03833315, -0.01678644);(0.11049250, -0.06463648, -0.01308418);(0.03407356, -0.00941982, -0.02299857);(0.07789584, -0.01369118, -0.03505407);(0.10646510, -0.01051905, -0.04589288);(0.12490370, -0.01629404, -0.05215539);(0.09802119, -0.09261562, 0.00715024);(0.16553640, -0.05178787, 0.01467575);(0.09875347, -0.09150115, 0.00328940);(0.10404140, -0.08748937, -0.00755779);(0.14525050, -0.02360763, -0.05598301);$
22:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155410, 0.01049651);(0.03185962, -0.01085348, 0.03236309);(0.05491153, -0.00810856, 0.05512632);(0.08135951, -0.00260241, 0.07542801);(0.09599623, -0.00731646, 0.02355067);(0.13232000, -0.01804343, 0.02155205);(0.15402170, -0.02886278, 0.01992562);(0.09564660, -0.00254316, 0.00172590);(0.13056420, -0.02678256, -0.00426919);(0.15206440, -0.04356386, -0.00815630);(0.08869380, -0.00652929, -0.01746524);(0.10024370, -0.04375647, -0.01626891);(0.07472482, -0.04273024, -0.00892893);(0.03407356, -0.00941983, -0.02299857);(0.07789585, -0.01369118, -0.03505406);(0.08465444, -0.04295245, -0.02858553);(0.06618228, -0.04019657, -0.02060201);(0.09292617, 0.00409774, 0.09610481);(0.17473260, -0.03681028, 0.01689961);(0.17307290, -0.05634363, -0.01262329);(0.06412486, -0.02096890, -0.00601393);(0.05588541, -0.02117099, -0.01684280);$
23:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155410, 0.01049653);(0.03664400, -0.02066825, 0.02661675);(0.06091692, -0.03656941, 0.04128195);(0.09009708, -0.05194874, 0.03393568);(0.09599625, -0.00731645, 0.02355068);(0.11160440, -0.04164431, 0.01949296);(0.08758659, -0.04447727, 0.02189877);(0.09564661, -0.00254316, 0.00172592);(0.10940550, -0.04318212, 0.00034906);(0.08217047, -0.04404933, 0.00440867);(0.08869381, -0.00652930, -0.01746523);(0.10182920, -0.04324007, -0.01677268);(0.07639972, -0.04339145, -0.00906124);(0.03407356, -0.00941984, -0.02299858);(0.07789587, -0.01369118, -0.03505407);(0.10229750, -0.03153140, -0.04053396);(0.11705080, -0.04475626, -0.04500568);(0.09920735, -0.05668751, 0.01155808);(0.07718594, -0.02479703, 0.02430145);(0.06911307, -0.02323962, 0.00900186);(0.06398632, -0.02271466, -0.00548468);(0.13508220, -0.05667852, -0.04886056);$
24:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155410, 0.01049652);(0.03318651, -0.01344247, 0.03152084);(0.05555175, -0.01882299, 0.05449766);(0.08076490, -0.02034632, 0.07694647);(0.09599622, -0.00731644, 0.02355067);(0.10787020, -0.04313865, 0.01977476);(0.08366951, -0.04338106, 0.02199645);(0.09564660, -0.00254315, 0.00172588);(0.10661850, -0.04401024, 0.00004566);(0.07960154, -0.04424659, 0.00543149);(0.08869380, -0.00652929, -0.01746525);(0.10165670, -0.04330591, -0.01709308);(0.07654016, -0.04534229, -0.00865770);(0.03407356, -0.00941984, -0.02299858);(0.07789586, -0.01369116, -0.03505408);(0.10452250, -0.02641391, -0.04359220);(0.11798120, -0.04127276, -0.04685261);(0.09114135, -0.01927091, 0.09924854);(0.07159631, -0.02465852, 0.02422409);(0.06637211, -0.02370380, 0.01068609);(0.06524840, -0.02402627, -0.00511712);(0.13004450, -0.05955665, -0.04533449);$
